,M
1376,-123
1377,-80
1378,-271
1379,-722
1380,-965
1381,-998
1382,-1034
1383,-925
1384,-711
1385,-595
1386,-647
1387,-660
1388,-714
1389,-974
1390,-1131
1391,-1290
1392,-1591
1393,-1817
1394,-2052
1395,-2167
1396,-2093
1397,-1963
1398,-1870
1399,-1863
1400,-1964
1401,-1815
1402,-1676
1403,-1637
1404,-1429
1405,-1302
1406,-1407
1407,-1269
1408,-1225
1409,-1664
1410,-2072
1411,-2353
1412,-2567
1413,-2851
1414,-2817
1415,-2754
1416,-2531
1417,-2178
1418,-1977
1419,-1714
1420,-1530
1421,-1462
1422,-1380
1423,-1458
1424,-1937
1425,-1925
1426,-1915
1427,-2101
1428,-2123
1429,-2171
1430,-2184
1431,-2084
1432,-1971
1433,-1936
1434,-1924
1435,-1804
1436,-1600
1437,-1298
1438,-1192
1439,-1259
1440,-1071
1441,-1015
1442,-968
1443,-919
1444,-846
1445,-592
1446,-339
1447,-399
1448,-671
1449,-743
1450,-495
1451,-297
1452,-311
1453,-158
1454,134
1455,489
1456,621
1457,565
1458,636
1459,631
1460,579
1461,539
1462,594
1463,408
1464,143
1465,-142
1466,-316
1467,-621
1468,-997
1469,-1014
1470,-1173
1471,-1277
1472,-1325
1473,-1284
1474,-1194
1475,-1153
1476,-1022
1477,-894
1478,-899
1479,-1078
1480,-1245
1481,-1279
1482,-1275
1483,-1373
1484,-1395
1485,-1561
1486,-1638
1487,-1567
1488,-1353
1489,-1030
1490,-1037
1491,-859
1492,-555
1493,-467
1494,-24
1495,203
1496,115
1497,155
1498,169
1499,314
1500,464
1501,486
1502,476
1503,785
1504,875
1505,506
1506,685
1507,772
1508,902
1509,1139
1510,1110
1511,975
1512,473
1513,303
1514,30
1515,-330
1516,-495
1517,-642
1518,-717
1519,-889
1520,-920
1521,-736
1522,-829
1523,-563
1524,-19
1525,337
1526,777
1527,1326
1528,1716
1529,1397
1530,964
1531,568
1532,-103
1533,-924
1534,-1312
1535,-1502
1536,-1643
1537,-1101
1538,-534
1539,-142
1540,154
1541,73
1542,-166
1543,-297
1544,-647
1545,-552
1546,-83
1547,-62
1548,-175
1549,-567
1550,-951
1551,-1225
1552,-1273
1553,-837
1554,-462
1555,32
1556,529
1557,980
1558,1368
1559,1669
1560,1899
1561,1985
1562,1777
1563,1170
1564,741
1565,409
1566,112
1567,231
1568,492
1569,947
1570,1205
1571,1348
1572,1535
1573,1298
1574,1142
1575,1009
1576,651
1577,334
1578,31
1579,-90
1580,-2
1581,287
1582,584
1583,577
1584,503
1585,373
1586,82
1587,-238
1588,-529
1589,-911
1590,-1128
1591,-1109
1592,-789
1593,-694
1594,-621
1595,-717
1596,-813
1597,-1045
1598,-1340
1599,-1498
1600,-1525
1601,-1513
1602,-1456
1603,-1581
1604,-1700
1605,-1515
1606,-1491
1607,-1280
1608,-911
1609,-1037
1610,-1385
1611,-1665
1612,-1674
1613,-1448
1614,-1341
1615,-1097
1616,-1016
1617,-973
1618,-808
1619,-667
1620,-433
1621,-388
1622,-217
1623,-84
1624,20
1625,190
1626,345
1627,516
1628,643
1629,1237
1630,2078
1631,2332
1632,2669
1633,2787
1634,2669
1635,2676
1636,2708
1637,2966
1638,3221
1639,3248
1640,3741
1641,4550
1642,5294
1643,5488
1644,5494
1645,5571
1646,4755
1647,4135
1648,4079
1649,3442
1650,2815
1651,2615
1652,2682
1653,3053
1654,3347
1655,3474
1656,3549
1657,3047
1658,2404
1659,1863
1660,1433
1661,1337
1662,1005
1663,157
1664,-824
1665,-1892
1666,-2575
1667,-3350
1668,-3912
1669,-3873
1670,-3951
1671,-4147
1672,-4339
1673,-4664
1674,-4860
1675,-5042
1676,-5158
1677,-5113
1678,-5507
1679,-6002
1680,-6377
1681,-6579
1682,-6944
1683,-7116
1684,-6836
1685,-6436
1686,-6261
1687,-6273
1688,-6085
1689,-5694
1690,-5433
1691,-5330
1692,-5302
1693,-5339
1694,-5328
1695,-5547
1696,-5838
1697,-5980
1698,-6102
1699,-6360
1700,-6442
1701,-6158
1702,-5837
1703,-5449
1704,-5487
1705,-5562
1706,-5363
1707,-5222
1708,-4810
1709,-4526
1710,-4482
1711,-4195
1712,-4362
1713,-4555
1714,-4808
1715,-5068
1716,-5162
1717,-5541
1718,-6046
1719,-6440
1720,-5923
1721,-5034
1722,-4120
1723,-3183
1724,-2740
1725,-2134
1726,-1171
1727,-38
1728,1133
1729,1877
1730,2438
1731,3776
1732,6199
1733,9045
1734,12176
1735,15675
1736,19148
1737,22279
1738,25563
1739,28997
1740,31905
1741,32762
1742,32324
1743,32387
1744,32397
1745,32292
1746,32313
1747,32260
1748,32223
1749,32209
1750,32156
1751,31931
1752,30002
1753,24641
1754,17942
1755,11490
1756,4736
1757,-2087
1758,-8953
1759,-15633
1760,-21562
1761,-26786
1762,-30896
1763,-32762
1764,-32768
1765,-32765
1766,-32768
1767,-32768
1768,-32768
1769,-32766
1770,-32719
1771,-32038
1772,-29818
1773,-27159
1774,-25448
1775,-23392
1776,-21118
1777,-18560
1778,-15823
1779,-13601
1780,-11140
1781,-9033
1782,-7107
1783,-4932
1784,-2800
1785,-132
1786,2668
1787,5197
1788,7555
1789,9990
1790,12639
1791,15166
1792,17489
1793,19894
1794,21826
1795,23374
1796,24297
1797,24572
1798,24641
1799,24269
1800,23318
1801,21951
1802,20369
1803,18477
1804,16324
1805,13949
1806,10952
1807,7494
1808,3722
1809,-292
1810,-4006
1811,-7398
1812,-10743
1813,-13768
1814,-16082
1815,-17345
1816,-18175
1817,-19306
1818,-20320
1819,-20910
1820,-20704
1821,-19566
1822,-17751
1823,-14990
1824,-12145
1825,-9049
1826,-5565
1827,-2481
1828,404
1829,2880
1830,5721
1831,8772
1832,11157
1833,13106
1834,14428
1835,15806
1836,17825
1837,19645
1838,20597
1839,20372
1840,20292
1841,20955
1842,21108
1843,20316
1844,19640
1845,19687
1846,19996
1847,20270
1848,20124
1849,19681
1850,19113
1851,18403
1852,17538
1853,15753
1854,13323
1855,10642
1856,7381
1857,3574
1858,-592
1859,-4549
1860,-8405
1861,-12062
1862,-15047
1863,-17826
1864,-20518
1865,-22899
1866,-24506
1867,-25492
1868,-26129
1869,-26354
1870,-26296
1871,-25841
1872,-25051
1873,-24244
1874,-23250
1875,-22363
1876,-21638
1877,-20368
1878,-19045
1879,-18233
1880,-16736
1881,-14979
1882,-13190
1883,-11437
1884,-9876
1885,-8420
1886,-6719
1887,-4255
1888,-1896
1889,302
1890,2180
1891,3547
1892,5117
1893,6174
1894,6935
1895,7983
1896,8901
1897,9196
1898,9336
1899,9379
1900,9380
1901,9437
1902,9322
1903,9372
1904,8969
1905,8314
1906,8020
1907,7078
1908,5675
1909,4412
1910,3208
1911,1707
1912,563
1913,-371
1914,-1789
1915,-2705
1916,-3615
1917,-4911
1918,-5570
1919,-5857
1920,-6045
1921,-5982
1922,-6147
1923,-6169
1924,-6254
1925,-6085
1926,-5884
1927,-5460
1928,-4571
1929,-3781
1930,-2303
1931,-782
1932,361
1933,1740
1934,2736
1935,3615
1936,4639
1937,5276
1938,5701
1939,6083
1940,6219
1941,6389
1942,6754
1943,7271
1944,6923
1945,6045
1946,5326
1947,4274
1948,2967
1949,1597
1950,162
1951,-646
1952,-1141
1953,-1533
1954,-1817
1955,-2230
1956,-2737
1957,-3445
1958,-4120
1959,-4730
1960,-5365
1961,-5444
1962,-5049
1963,-4998
1964,-4839
1965,-4674
1966,-4426
1967,-4069
1968,-3690
1969,-3017
1970,-2473
1971,-1859
1972,-1213
1973,-681
1974,-3
1975,852
1976,1801
1977,2226
1978,2766
1979,3113
1980,3317
1981,4006
1982,4827
1983,5378
1984,5354
1985,4885
1986,4621
1987,4581
1988,4564
1989,4544
1990,4801
1991,5183
1992,5097
1993,4829
1994,4630
1995,3851
1996,2892
1997,2148
1998,1593
1999,905
2000,825
2001,1355
2002,1529
2003,1668
2004,1528
2005,1100
2006,890
2007,587
2008,382
2009,-7
2010,-317
2011,-446
2012,-709
2013,-880
2014,-1230
2015,-961
2016,-231
2017,77
2018,379
2019,843
2020,990
2021,719
2022,498
2023,503
2024,474
2025,898
2026,1471
2027,2035
2028,2406
2029,2364
2030,2221
2031,2268
2032,1931
2033,1189
2034,370
2035,-585
2036,-1268
2037,-1560
2038,-1616
2039,-1829
2040,-1581
2041,-1559
2042,-1893
2043,-1894
2044,-1935
2045,-1981
2046,-1983
2047,-2126
2048,-2256
2049,-2322
2050,-2424
2051,-2629
2052,-3018
2053,-3305
2054,-3438
2055,-3271
2056,-3243
2057,-3486
2058,-3497
2059,-3513
2060,-3272
2061,-2948
2062,-2886
2063,-2745
2064,-2503
2065,-2511
2066,-2286
2067,-1883
2068,-1678
2069,-1720
2070,-2243
2071,-3363
2072,-4512
2073,-4205
2074,-3769
2075,-3500
2076,-2753
2077,-2278
2078,-2102
2079,-2151
2080,-2201
2081,-2120
2082,-2037
2083,-2059
2084,-2060
2085,-2031
2086,-1777
2087,-1396
2088,-1299
2089,-1820
2090,-2171
2091,-1725
2092,-1279
2093,-606
2094,205
2095,751
2096,1516
2097,2204
2098,1600
2099,388
2100,727
2101,884
2102,150
2103,-190
2104,-1015
2105,-1658
2106,-1832
2107,-1775
2108,-1672
2109,-1517
